RC1-after,,
wcA,DF,1stO Diff
9749.43,47.28,0.13
9770.7,47.43,0.15
9791.53,47.47,0.04
9814.91,47.58,0.11
9836.4,47.71,0.13
9856.95,47.75,0.04
9878.56,47.931,0.181
9881.252566,47.94256556,0.011565557
9899.28,48.02,0.077434443
9918.97,48.14,0.12
9920.91,48.17,0.03
9925.52,48.19795149,0.027951494
9944,48.31,0.112048506
9963.16,48.4,0.09
9979.85,48.49,0.09
9994.8,48.62,0.13
10015.42,48.74,0.12
10031.3414,48.82139774,0.081397739
10027.73,48.80293456,-0.018463179
10034.98,48.84,0.03706544
10038.81,48.89,0.05
10044.75179,48.91178759,0.021787592
10047.3,48.92113148,0.00934389
10057.9,48.96,0.038868518
10077.29,49.01,0.05
10096.06,49.21,0.2
10116.87,49.33,0.12
10130.67,49.43,0.1
10137.2,49.481,0.051
10154.98,49.65,0.169
10177.06,49.8,0.15
10186.61,49.84,0.04
10189.72,49.88,0.04
10196.97,49.921,0.041
10216.8,50.07,0.149
10234.62,50.22,0.15
10255.55,50.331,0.111
10276.16,50.49,0.159
10296.53,50.63,0.14
10316.33,50.75,0.12
10337.39,50.85,0.1
10356.96,50.93,0.08
10377.8,51.12,0.19
10396.07,51.19608977,0.076089773
10397.71,51.20291994,0.006830171
10399.41,51.21,0.007080056
10420.59,51.31,0.1
10439.76,51.44,0.13
10458.28,51.561,0.121
10478.06,51.67,0.109
10497.28,51.72,0.05
10514.22,51.81,0.09
10534.98,51.98,0.17
10555.87,52.14,0.16
10576.44,52.27,0.13
10596.99,52.41,0.14
10617.71,52.53,0.12
10638.31,52.68,0.15
10639.72,52.64,-0.04
10656.59,52.81,0.17
10676.77,52.89,0.08
10698.03,52.99,0.1
10718.59,53.14,0.15
10738.48,53.24,0.1
10759.25,53.36,0.12
10777.33,53.46,0.1
10795.86,53.59,0.13
10816.78,53.65,0.06
10837.63,53.73,0.08
10857.13,53.88,0.15
10873.06,53.98,0.1
10890.76,54.15,0.17
10897.58,54.22,0.07
10906.81,54.27,0.05
10926.78,54.37,0.1
10947.84,54.55,0.18
10967.01,54.66,0.11
10988.91,54.81,0.15
11009.17,54.97,0.16
11029.9,55.11,0.14
11032.59,55.11,1.82E-12
11051.88,55.26,0.15
11072.09,55.36,0.1
11092.89,55.48,0.12
11114.29,55.63,0.15
11135.69,55.8,0.17
